id,target
0,0.03108
1,0.03921
2,0.03521
3,0.02810
4,0.02873
5,0.03044
6,0.03512
8,0.03186
10,0.04585
11,0.03231
12,0.03221
14,0.03067
15,0.04062
18,0.03640
21,0.04064
23,0.03878
24,0.03543
25,0.03686
27,0.04469
29,0.03376
30,0.03666
31,0.03761
32,0.04487
33,0.03679
37,0.03037
38,0.03253
39,0.04946
40,0.03351
41,0.03615
42,0.03417
44,0.03146
45,0.03519
47,0.03136
49,0.03060
51,0.03593
52,0.02983
53,0.03678
54,0.04798
55,0.03501
56,0.03591
57,0.04799
59,0.04692
60,0.03693
62,0.02971
63,0.05610
67,0.03954
68,0.02789
69,0.04931
70,0.03608
71,0.04081
73,0.03684
75,0.03911
76,0.03021
81,0.02666
82,0.03881
83,0.03118
86,0.02994
87,0.03678
88,0.03139
91,0.04246
92,0.03667
94,0.03020
97,0.03635
100,0.03797
102,0.03778
103,0.03138
105,0.03745
106,0.04638
108,0.03749
113,0.04942
114,0.03715
115,0.03266
118,0.04251
122,0.02938
124,0.03025
126,0.03228
128,0.03614
129,0.03660
130,0.04254
131,0.04520
132,0.04434
133,0.02921
134,0.04591
135,0.04418
136,0.03123
139,0.03164
140,0.03730
141,0.04046
146,0.03245
148,0.03509
151,0.02928
152,0.04189
154,0.03252
157,0.03351
158,0.02823
159,0.04627
161,0.03736
164,0.03579
165,0.04681
167,0.03484
168,0.03938
169,0.03573
171,0.03641
172,0.04272
173,0.02950
174,0.03641
175,0.03828
176,0.03972
178,0.03532
179,0.03193
180,0.03003
181,0.02559
182,0.04042
183,0.03899
184,0.04696
185,0.03327
187,0.02859
188,0.03213
190,0.03471
191,0.03405
192,0.05662
195,0.03553
196,0.03973
198,0.04090
201,0.03208
202,0.03449
203,0.03201
204,0.02993
207,0.03273
213,0.04463
219,0.03111
220,0.03458
222,0.04223
226,0.03207
228,0.05009
230,0.03592
231,0.03216
232,0.04171
233,0.03740
234,0.02605
236,0.04095
237,0.03339
238,0.04568
240,0.03678
241,0.02977
242,0.03831
243,0.03610
245,0.03620
246,0.05252
247,0.03265
249,0.04934
250,0.03664
251,0.02914
252,0.03828
253,0.02873
254,0.03770
255,0.04941
256,0.03847
257,0.03301
258,0.03951
259,0.05134
260,0.02496
262,0.02834
267,0.03218
268,0.03057
270,0.02888
272,0.03643
273,0.03246
274,0.03859
275,0.04156
276,0.03218
277,0.03475
278,0.04097
279,0.04333
281,0.04085
282,0.03490
283,0.03928
287,0.03487
288,0.03990
289,0.03965
290,0.03594
291,0.03818
292,0.05580
293,0.03659
294,0.03284
295,0.03072
296,0.05440
297,0.03344
298,0.03576
299,0.04307
300,0.04063
303,0.04136
304,0.03887
308,0.02963
314,0.04597
315,0.03712
317,0.03507
318,0.04865
320,0.04298
322,0.03992
323,0.03733
327,0.04184
329,0.04469
331,0.03540
332,0.05416
333,0.04250
334,0.03215
335,0.02911
336,0.03762
337,0.04435
341,0.04290
343,0.03053
345,0.04200
347,0.03122
348,0.03022
349,0.03315
352,0.03447
353,0.02913
354,0.03875
355,0.03338
356,0.04413
357,0.03674
358,0.03270
359,0.03302
361,0.03445
362,0.03847
365,0.03900
366,0.04068
368,0.03676
369,0.03293
371,0.03074
373,0.03494
376,0.03344
377,0.04212
379,0.03529
381,0.03251
382,0.03775
383,0.03382
384,0.03559
385,0.03955
386,0.04064
387,0.03601
388,0.04553
390,0.03769
391,0.03517
392,0.04110
393,0.04380
394,0.03517
396,0.03844
400,0.03277
402,0.05578
403,0.03367
405,0.03171
407,0.03828
409,0.04377
411,0.03370
412,0.02939
414,0.06110
415,0.03505
416,0.02712
418,0.03346
419,0.03777
421,0.02849
422,0.05383
423,0.04139
424,0.04350
426,0.02878
427,0.04898
428,0.04029
436,0.03710
438,0.03602
442,0.03427
443,0.03243
445,0.03515
446,0.03481
447,0.02971
450,0.04382
452,0.03098
453,0.03839
455,0.03620
