id,target
0,0.02910
1,0.03357
2,0.02823
3,0.03330
4,0.01984
5,0.02844
6,0.05318
8,0.02392
10,0.05125
11,0.03943
12,0.03291
14,0.02338
15,0.04592
18,0.02667
21,0.04648
23,0.03085
24,0.03568
25,0.03438
27,0.06542
29,0.03647
30,0.03018
31,0.04352
32,0.04554
33,0.04335
37,0.02552
38,0.03914
39,0.04381
40,0.03375
41,0.04795
42,0.03150
44,0.02180
45,0.03772
47,0.04081
49,0.02475
51,0.03155
52,0.02869
53,0.03940
54,0.03857
55,0.02413
56,0.03022
57,0.04479
59,0.03620
60,0.03731
62,0.01911
63,0.06951
67,0.03722
68,0.02116
69,0.04544
70,0.02947
71,0.04698
73,0.04119
75,0.03990
76,0.02743
81,0.02655
82,0.02856
83,0.02715
86,0.03269
87,0.03678
88,0.02633
91,0.05345
92,0.03156
94,0.02955
97,0.02969
100,0.03097
102,0.03907
103,0.03636
105,0.03370
106,0.03799
108,0.03378
113,0.05165
114,0.03140
115,0.04422
118,0.02770
122,0.03155
124,0.03827
126,0.03616
128,0.04148
129,0.04558
130,0.05056
131,0.05774
132,0.05331
133,0.02057
134,0.06191
135,0.05421
136,0.02275
139,0.02648
140,0.02449
141,0.04464
146,0.02907
148,0.02499
151,0.02481
152,0.03338
154,0.02949
157,0.03391
158,0.02406
159,0.06230
161,0.03241
164,0.05024
165,0.03733
167,0.02764
168,0.04529
169,0.03458
171,0.02871
172,0.04274
173,0.03026
174,0.03556
175,0.05576
176,0.04231
178,0.03628
179,0.01833
180,0.03640
181,0.02465
182,0.03587
183,0.05342
184,0.04780
185,0.04722
187,0.02928
188,0.02851
190,0.02233
191,0.02890
192,0.05894
195,0.02844
196,0.03652
198,0.02415
201,0.03427
202,0.04221
203,0.02631
204,0.02439
207,0.02914
213,0.04358
219,0.03456
220,0.03448
222,0.04179
226,0.02531
228,0.07291
230,0.03483
231,0.02582
232,0.05221
233,0.02635
234,0.02003
236,0.03064
237,0.02928
238,0.04108
240,0.03567
241,0.02132
242,0.03915
243,0.02850
245,0.03932
246,0.05948
247,0.03602
249,0.08285
250,0.03341
251,0.02445
252,0.03027
253,0.02541
254,0.04547
255,0.05288
256,0.03664
257,0.02549
258,0.04060
259,0.05177
260,0.01871
262,0.02299
267,0.02926
268,0.03548
270,0.02678
272,0.03112
273,0.03681
274,0.03534
275,0.04032
276,0.02887
277,0.03559
278,0.02809
279,0.04233
281,0.05749
282,0.03807
283,0.04400
287,0.04713
288,0.03490
